Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
950669 -- Other,"15,859",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","2,706",1.80,1.80,3,,,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","50,617",2.70,2.70,2,,,,Brazil
950699 -- Other,"243,309",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,181,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,"37,046",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,"17,309",1.70,1.70,1,,,,Brazil
950890 - Other,"96,743",1.70,1.70,1,,,,Brazil
,2008,"5,221,430",2.12,2.12,66,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","751,822",2.09,2.09,18,,,,Brazil
950410 - Video games of a kind used with a television receiver,"172,205",0.00,0.00,1,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"172,044",0.00,0.00,2,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","800,117",0.00,0.00,4,,,,Brazil
950440 - Playing cards,"808,613",2.70,2.70,1,,,,Brazil
950490 - Other,"301,066",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"83,671",1.35,1.35,2,,,,Brazil
950590 - Other,"55,370",2.70,2.70,1,,,,Brazil
950611 -- Skis,,3.70,3.70,4,,,,Brazil
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Brazil
950619 -- Other,,2.70,2.70,1,,,,Brazil
950621 -- Sailboards,"73,168",2.70,2.70,1,,,,Brazil
950629 -- Other,"349,581",2.70,2.70,1,,,,Brazil
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Brazil
950632 -- Balls,"27,231",2.70,2.70,1,,,,Brazil
950639 -- Other,15,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Brazil
950659 -- Other,"77,050",2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"65,214",2.70,2.70,2,,,,Brazil
950669 -- Other,"4,761",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","2,974",1.80,1.80,3,,,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","771,480",2.70,2.70,2,,,,Brazil
950699 -- Other,"346,622",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled","7,881",2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,"71,293",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Brazil
950890 - Other,"279,254",1.70,1.70,1,,,,Brazil
