Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
390120 - Polyethylene having a specific gravity of 0.94 or more,"207,919,155",3.25,0.00,2,,1,,"Korea, Republic of"
390130 - Ethylene-vinyl acetate copolymers,"51,342,169",6.50,0.00,1,,1,,"Korea, Republic of"
390190 - Other,"32,093,580",3.25,0.00,2,,1,,"Korea, Republic of"
390210 - Polypropylene,"167,777,157",6.50,0.00,1,,1,,"Korea, Republic of"
390220 - Polyisobutylene,"25,830,319",6.50,0.00,1,,1,,"Korea, Republic of"
390230 - Propylene copolymers,"125,429,017",6.50,0.00,1,,1,,"Korea, Republic of"
390290 - Other,"2,526,030",2.17,0.00,3,,1,,"Korea, Republic of"
390311 -- Expansible,"1,151,731",6.50,0.00,1,,1,,"Korea, Republic of"
390319 -- Other,"47,257,605",6.50,0.00,1,,1,,"Korea, Republic of"
390320 - Styrene-acrylonitrile (SAN) copolymers,"35,422,843",6.50,0.00,1,,1,,"Korea, Republic of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"277,532,015",6.50,0.00,1,,1,,"Korea, Republic of"
390390 - Other,"63,210,498",2.17,0.00,3,,1,,"Korea, Republic of"
"390410 - Poly(vinyl chloride), not mixed with any other substances","14,941,606",6.50,0.00,1,,1,,"Korea, Republic of"
390421 -- Non-plasticised,"39,792",6.50,0.00,1,,1,,"Korea, Republic of"
390422 -- Plasticised,"208,497",6.50,0.00,1,,1,,"Korea, Republic of"
390430 - Vinyl chloride-vinyl acetate copolymers,"53,771",6.50,0.00,1,,1,,"Korea, Republic of"
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,"Korea, Republic of"
390461 -- Polytetrafluoroethylene,"1,170,278",6.50,0.00,1,,1,,"Korea, Republic of"
390469 -- Other,"1,209,849",4.33,0.00,3,,2,,"Korea, Republic of"
390490 - Other,"3,364",6.50,0.00,1,,1,,"Korea, Republic of"
390512 -- In aqueous dispersion,,6.50,0.00,1,,1,,"Korea, Republic of"
390519 -- Other,802,6.50,0.00,1,,1,,"Korea, Republic of"
390521 -- In aqueous dispersion,595,6.50,0.00,1,,1,,"Korea, Republic of"
390529 -- Other,"80,248",6.50,0.00,1,,1,,"Korea, Republic of"
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,"Korea, Republic of"
390591 -- Copolymers,"59,980",6.50,0.00,1,,1,,"Korea, Republic of"
390599 -- Other,"72,883",3.25,0.00,2,,1,,"Korea, Republic of"
390610 - Poly(methyl methacrylate),"44,750,606",6.50,0.00,1,,1,,"Korea, Republic of"
390690 - Other,"128,180,892",0.93,0.00,7,,1,,"Korea, Republic of"
390710 - Polyacetals,"54,344,450",6.50,0.00,1,,1,,"Korea, Republic of"
390720 - Other polyethers,"43,110,537",4.88,0.00,4,,3,,"Korea, Republic of"
390730 - Epoxide resins,"88,347,925",6.50,0.00,1,,1,,"Korea, Republic of"
390740 - Polycarbonates,"95,508,679",6.50,0.00,1,,1,,"Korea, Republic of"
390750 - Alkyd resins,"32,130",6.50,0.00,1,,1,,"Korea, Republic of"
390760 - Poly(ethylene terephthalate),"224,987,766",6.50,0.00,2,,2,,"Korea, Republic of"
390770 - Poly(lactic acid),830,0.00,0.00,1,,,,"Korea, Republic of"
