Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
390521 -- In aqueous dispersion,,6.50,0.00,1,,1,,India
390529 -- Other,,6.50,0.00,1,,1,,India
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups","1,013,986",6.50,0.00,1,,1,,India
390591 -- Copolymers,"18,666",6.50,0.00,1,,1,,India
390599 -- Other,"2,262,315",3.25,0.00,2,,1,,India
390610 - Poly(methyl methacrylate),"2,003,018",6.50,2.90,1,,1,,India
390690 - Other,"1,622,101",0.93,0.00,7,,1,,India
390710 - Polyacetals,"220,033",6.50,2.20,1,,1,,India
390720 - Other polyethers,"758,437",4.88,0.00,4,,3,,India
390730 - Epoxide resins,"28,067,865",6.50,0.00,1,,1,,India
390740 - Polycarbonates,"3,429,741",6.50,0.00,1,,1,,India
390750 - Alkyd resins,"219,259",6.50,0.00,1,,1,,India
390760 - Poly(ethylene terephthalate),"119,465,518",6.50,1.50,2,,2,,India
390770 - Poly(lactic acid),548,0.00,0.00,1,,,,India
390791 -- Unsaturated,"5,755,490",6.50,0.00,2,,2,,India
390799 -- Other,"1,726,205",3.25,1.50,2,,1,,India
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","1,183,254",6.50,2.20,1,,1,,India
390890 - Other,"981,821",6.50,2.20,1,,1,,India
390910 - Urea resins; thiourea resins,"808,309",6.50,0.00,1,,1,,India
390920 - Melamine resins,"1,290,777",6.50,0.00,1,,1,,India
390930 - Other amino-resins,"142,326",6.50,0.00,1,,1,,India
390940 - Phenolic resins,"23,710,038",6.50,0.00,1,,1,,India
390950 - Polyurethanes,"4,932,969",3.25,0.00,2,,1,,India
391000 Silicones in primary forms.,"1,768,743",6.50,0.00,1,,1,,India
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","6,996,618",6.50,0.00,1,,1,,India
391190 - Other,"17,594,283",3.30,0.00,5,,3,,India
391211 -- Non-plasticised,"364,160",6.50,0.00,1,,1,,India
391212 -- Plasticised,"375,951",6.50,0.00,1,,1,,India
391220 - Cellulose nitrates (including collodions),"6,133,048",6.33,0.00,3,,3,,India
391231 -- Carboxymethylcellulose and its salts,"2,895,724",6.50,0.00,1,,1,,India
391239 -- Other,"3,115,569",3.25,0.00,2,,1,,India
391290 - Other,"4,485,543",6.45,0.00,2,,2,,India
"391310 - Alginic acid, its salts and esters","2,607",5.00,0.00,1,,1,,India
391390 - Other,"648,355",6.50,0.00,1,,1,,India
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.","11,137,114",6.50,0.00,1,,1,,India
391510 - Of polymers of ethylene,"4,477",6.50,0.00,1,,1,,India
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,India
391530 - Of polymers of vinyl chloride,"2,873",6.50,0.00,1,,1,,India
391590 - Of other plastics,"397,031",6.50,0.00,2,,2,,India
391610 - Of polymers of ethylene,"36,253",6.50,0.00,1,,1,,India
391620 - Of polymers of vinyl chloride,"478,851",6.50,0.00,1,,1,,India
391690 - Of other plastics,"5,886,952",6.50,0.00,3,,3,,India
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"93,534",5.90,0.00,2,,2,,India
391721 -- Of polymers of ethylene,"1,200,389",6.50,0.00,2,,2,,India
391722 -- Of polymers of propylene,"405,957",6.50,0.00,2,,2,,India
391723 -- Of polymers of vinyl chloride,"3,823,051",6.50,0.00,2,,2,,India
391729 -- Of other plastics,"2,418,082",6.50,0.00,1,,1,,India
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","7,074,217",6.50,0.00,1,,1,,India
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","1,444,192",6.50,0.00,1,,1,,India
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings","239,662",6.50,0.00,1,,1,,India
391739 -- Other,"1,631,090",6.50,0.00,1,,1,,India
391740 - Fittings,"10,290,080",6.50,0.00,1,,1,,India
391810 - Of polymers of vinyl chloride,"1,818,730",6.50,0.00,2,,2,,India
391890 - Of other plastics,"1,358,166",6.50,0.00,1,,1,,India
391910 - In rolls of a width not exceeding 20 cm,"12,823,900",6.35,0.00,4,,4,,India
391990 - Other,"13,828,982",6.50,0.00,1,,1,,India
392010 - Of polymers of ethylene,"8,217,687",4.64,2.14,7,,5,,India
392020 - Of polymers of propylene,"51,759,428",6.50,3.00,3,,3,,India
392030 - Of polymers of styrene,"352,028",6.50,3.00,1,,1,,India
392043 -- Containing by weight not less than 6 % of plasticisers,"108,705",6.50,3.00,2,,2,,India
392049 -- Other,"667,474",6.50,3.00,2,,2,,India
392051 -- Of poly(methyl methacrylate),"115,828",6.50,3.00,1,,1,,India
392059 -- Other,"4,250",3.25,1.50,2,,1,,India
392061 -- Of polycarbonates,"222,113",6.50,3.00,1,,1,,India
392062 -- Of poly(ethylene terephthalate),"65,866,394",4.33,2.00,3,,2,,India
392063 -- Of unsaturated polyesters,"2,858",6.50,3.00,1,,1,,India
392069 -- Of other polyesters,"3,672,890",6.50,3.00,1,,1,,India
392071 -- Of regenerated cellulose,"29,764",6.50,3.00,1,,1,,India
392073 -- Of cellulose acetate,"245,742",6.40,2.90,2,,2,,India
392079 -- Of other cellulose derivatives,"46,363",6.10,2.60,2,,2,,India
392091 -- Of poly(vinyl butyral),"54,957",6.10,2.60,1,,1,,India
392092 -- Of polyamides,"158,117",6.50,3.00,1,,1,,India
392093 -- Of amino-resins,,6.50,3.00,1,,1,,India
392094 -- Of phenolic resins,"102,594",6.50,3.00,1,,1,,India
392099 -- Of other plastics,"4,730,466",3.25,1.50,6,,3,,India
392111 -- Of polymers of styrene,"20,863",6.50,0.00,1,,1,,India
392112 -- Of polymers of vinyl chloride,"8,777,172",6.50,0.00,1,,1,,India
392113 -- Of polyurethanes,"138,822",6.50,0.00,2,,2,,India
392114 -- Of regenerated cellulose,407,6.50,0.00,1,,1,,India
392119 -- Of other plastics,"12,240,951",6.50,0.00,1,,1,,India
392190 - Other,"56,039,257",6.50,0.38,8,,8,,India
"392210 - Baths, shower-baths, sinks and wash-basins","4,026,610",6.50,0.00,1,,1,,India
392220 - Lavatory seats and covers,"40,941",6.50,0.00,1,,1,,India
392290 - Other,"1,076,687",6.50,0.00,1,,1,,India
"392310 - Boxes, cases, crates and similar articles","6,758,099",6.50,0.00,1,,1,,India
392321 -- Of polymers of ethylene,"36,229,863",6.50,3.00,1,,1,,India
392329 -- Of other plastics,"45,445,334",6.50,0.00,2,,2,,India
"392330 - Carboys, bottles, flasks and similar articles","2,501,708",6.50,0.00,2,,2,,India
"392340 - Spools, cops, bobbins and similar supports","402,037",5.90,0.00,2,,2,,India
"392350 - Stoppers, lids, caps and other closures","8,543,945",6.50,0.00,2,,2,,India
