Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
870880 - Suspension systems and parts thereof (including shock-absorbers),"1,081",3.80,0.00,5,,5,,Albania
870891 - - Radiators and parts thereof,143,3.88,0.00,4,,4,,Albania
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,0.00,4,,4,,Albania
870893 - - Clutches and parts thereof,"101,773",3.75,0.00,2,,2,,Albania
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof","1,464",3.88,0.00,4,,4,,Albania
870895 - - Safety airbags with inflater system; parts thereof,,3.67,0.00,3,,3,,Albania
870899 - - Other,"258,217",3.67,0.00,3,,3,,Albania
870911 - - Electrical,,3.00,0.00,2,,2,,Albania
870919 - - Other,,3.00,0.00,2,,2,,Albania
870990 - Parts,,3.50,0.00,1,,1,,Albania
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,0.00,1,,1,,Albania
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,0.00,1,,1,,Albania
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,364,8.00,0.00,3,,3,,Albania
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,0.00,2,,2,,Albania
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,0.00,1,,1,,Albania
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,0.00,1,,1,,Albania
871160 - With electric motor for propulsion,348,6.00,0.00,2,,2,,Albania
871190 - Other,,6.00,0.00,1,,1,,Albania
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",20,14.50,0.00,2,,2,,Albania
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Albania
871390 - Other,,0.00,0.00,1,,,,Albania
871410 - Of motorcycles (including mopeds),1,3.70,0.00,6,,6,,Albania
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Albania
"871491 - - Frames and forks, and parts thereof","1,661,923",4.70,0.00,3,,3,,Albania
871492 - - Wheel rims and spokes,310,4.70,0.00,2,,2,,Albania
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",1,4.70,0.00,1,,1,,Albania
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof",1,4.70,0.00,2,,2,,Albania
871495 - - Saddles,1,4.70,0.00,1,,1,,Albania
"871496 - - Pedals and crank-gear, and parts thereof","36,568",4.70,0.00,3,,3,,Albania
871499 - - Other,"182,592",4.70,0.00,4,,4,,Albania
871500 Baby carriages and parts thereof.,558,2.70,0.00,2,,2,,Albania
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,0.00,2,,2,,Albania
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,0.00,1,,1,,Albania
871631 - - Tanker trailers and tanker semi-trailers,,2.70,0.00,1,,1,,Albania
871639 - - Other,"31,041",2.70,0.00,4,,4,,Albania
871640 - Other trailers and semi-trailers,"14,194",2.70,0.00,1,,1,,Albania
871680 - Other vehicles,"90,146",1.70,0.00,1,,1,,Albania
871690 - Parts,"192,255",1.70,0.00,4,,4,,Albania
,2016,"18,159,385",6.29,0.00,184,,171,,Albania
870110 - Pedestrian controlled tractors,,3.00,0.00,1,,1,,Albania
870120 - Road tractors for semi-trailers,"14,574",16.00,0.00,2,,2,,Albania
870130 -Track-laying tractors,,0.00,0.00,1,,,,Albania
870190 - Other,,0.88,0.00,8,,1,,Albania
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),"20,132",13.00,0.00,4,,4,,Albania
870290 - Other,,12.40,0.00,5,,5,,Albania
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,0.00,2,,2,,Albania
"870321 -- Of a cylinder capacity not exceeding 1,000 cc","13,595",10.00,0.00,2,,2,,Albania
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc","89,411",10.00,0.00,2,,2,,Albania
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","191,124",10.00,0.00,3,,3,,Albania
"870324 -- Of a cylinder capacity exceeding 3,000 cc","7,522",10.00,0.00,2,,2,,Albania
"870331 -- Of a cylinder capacity not exceeding 1,500 cc","11,928",10.00,0.00,2,,2,,Albania
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","13,011,670",10.00,0.00,3,,3,,Albania
"870333 -- Of a cylinder capacity exceeding 2,500 cc","81,526",10.00,0.00,3,,3,,Albania
870390 - Other,,10.00,0.00,2,,2,,Albania
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Albania
870421 -- g.v.w. not exceeding 5 tonnes,"4,447",13.50,0.00,5,,5,,Albania
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,"196,618",15.83,0.00,3,,3,,Albania
870423 -- g.v.w. exceeding 20 tonnes,"209,983",15.83,0.00,3,,3,,Albania
870431 -- g.v.w. not exceeding 5 tonnes,,13.50,0.00,5,,5,,Albania
870432 -- g.v.w. exceeding 5 tonnes,,15.83,0.00,3,,3,,Albania
870490 - Other,,10.00,0.00,1,,1,,Albania
870510 - Crane lorries,,3.70,0.00,1,,1,,Albania
870520 -Mobile drilling derricks,,3.70,0.00,1,,1,,Albania
870530 - Fire fighting vehicles,,3.70,0.00,1,,1,,Albania
870540 - Concrete-mixer lorries,,3.70,0.00,1,,1,,Albania
870590 - Other,,3.70,0.00,2,,2,,Albania
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,0.00,4,,4,,Albania
870710 - For the vehicles of heading 87.03,"423,727",4.50,0.00,2,,2,,Albania
870790 - Other,"306,036",4.50,0.00,2,,2,,Albania
870810 - Bumpers and parts thereof,"20,275",3.75,0.00,2,,2,,Albania
870821 -- Safety seat belts,619,3.75,0.00,2,,2,,Albania
870829 -- Other,"55,972",3.75,0.00,2,,2,,Albania
870830 - Brakes and servo-brakes; parts thereof,"476,771",4.00,0.00,3,,3,,Albania
870840 - Gear boxes and parts thereof,"700,402",3.88,0.00,4,,4,,Albania
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","29,383",4.00,0.00,5,,5,,Albania
870870 - Road wheels and parts and accessories thereof,,3.75,0.00,4,,4,,Albania
870880 - Suspension systems and parts thereof (including shock- absorbers),"98,269",3.80,0.00,5,,5,,Albania
870891 -- Radiators and parts thereof,329,3.88,0.00,4,,4,,Albania
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,"14,053",3.88,0.00,4,,4,,Albania
870893 -- Clutches and parts thereof,"216,118",3.75,0.00,2,,2,,Albania
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",807,3.88,0.00,4,,4,,Albania
870895 -- Safety airbags with inflater system; parts thereof,128,3.67,0.00,3,,3,,Albania
870899 -- Other,"513,293",3.67,0.00,3,,3,,Albania
870911 -- Electrical,,3.00,0.00,2,,2,,Albania
870919 -- Other,,3.00,0.00,2,,2,,Albania
870990 - Parts,,3.50,0.00,1,,1,,Albania
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,0.00,1,,1,,Albania
871110 -With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,332,8.00,0.00,1,,1,,Albania
871120 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,834,8.00,0.00,3,,3,,Albania
871130 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,0.00,2,,2,,Albania
871140 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,"9,901",6.00,0.00,1,,1,,Albania
871150 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,"6,582",6.00,0.00,1,,1,,Albania
871190 - Other,,6.00,0.00,2,,2,,Albania
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",410,14.50,0.00,2,,2,,Albania
