Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
950669 -- Other,"287,612",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","113,320",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","5,839,257",10.00,10.00,2,,,,European Union
950699 -- Other,"5,638,247",10.00,10.00,9,,,,European Union
950710 - Fishing rods,"6,671",10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","9,078",10.00,10.00,1,,,,European Union
950730 - Fishing reels,"2,140",10.00,10.00,1,,,,European Union
950790 - Other,"44,288",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"856,228",10.00,10.00,1,,,,European Union
,2010,"25,372,324",10.00,10.00,56,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","3,140,238",10.00,10.00,4,,,,European Union
950410 - Video games of a kind used with a television receiver,"2,823,418",10.00,10.00,1,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"50,609",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","1,006,611",10.00,10.00,3,,,,European Union
950440 - Playing cards,"20,331",10.00,10.00,1,,,,European Union
950490 - Other,"2,679,196",10.00,10.00,2,,,,European Union
950510 - Articles for Christmas festivities,"184,831",10.00,10.00,1,,,,European Union
950590 - Other,"295,385",10.00,10.00,2,,,,European Union
950611 -- Skis,"11,243",10.00,10.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"4,332",10.00,10.00,1,,,,European Union
950619 -- Other,"75,406",10.00,10.00,1,,,,European Union
950621 -- Sailboards,,10.00,10.00,1,,,,European Union
950629 -- Other,"259,937",10.00,10.00,1,,,,European Union
"950631 -- Clubs, complete","109,408",10.00,10.00,1,,,,European Union
950632 -- Balls,"1,602",10.00,10.00,1,,,,European Union
950639 -- Other,"35,168",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"284,644",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","200,550",10.00,10.00,1,,,,European Union
950659 -- Other,"339,240",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"143,999",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"263,563",10.00,10.00,4,,,,European Union
950669 -- Other,"324,991",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","269,888",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","5,388,270",10.00,10.00,2,,,,European Union
950699 -- Other,"4,962,183",10.00,10.00,9,,,,European Union
950710 - Fishing rods,72,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","2,474",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"23,289",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"2,471,448",10.00,10.00,1,,,,European Union
,2009,"19,116,286",10.00,10.00,56,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,294,367",10.00,10.00,4,,,,European Union
950410 - Video games of a kind used with a television receiver,"525,432",10.00,10.00,1,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"49,649",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","1,410,209",10.00,10.00,3,,,,European Union
950440 - Playing cards,"1,322",10.00,10.00,1,,,,European Union
