Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
610590 - Of other textile materials,"6,696,245",12.00,12.00,2,,,,China
610610 - Of cotton,"60,075,472",12.00,12.00,1,,,,China
610620 - Of man-made fibres,"130,535,073",12.00,12.00,1,,,,China
610690 - Of other textile materials,"17,662,862",12.00,12.00,4,,,,China
610711 -- Of cotton,"315,178,337",12.00,12.00,1,,,,China
610712 -- Of man-made fibres,"67,275,633",12.00,12.00,1,,,,China
610719 -- Of other textile materials,"6,113,436",12.00,12.00,1,,,,China
610721 -- Of cotton,"52,294,215",12.00,12.00,1,,,,China
610722 -- Of man-made fibres,"23,673,216",12.00,12.00,1,,,,China
610729 -- Of other textile materials,"1,143,571",12.00,12.00,1,,,,China
610791 -- Of cotton,"7,178,350",12.00,12.00,1,,,,China
610799 -- Of other textile materials,"28,994,508",12.00,12.00,1,,,,China
610811 -- Of man-made fibres,"7,324,910",12.00,12.00,1,,,,China
610819 -- Of other textile materials,"798,421",12.00,12.00,1,,,,China
610821 -- Of cotton,"211,381,845",12.00,12.00,1,,,,China
610822 -- Of man-made fibres,"364,007,733",12.00,12.00,1,,,,China
610829 -- Of other textile materials,"17,472,108",12.00,12.00,1,,,,China
610831 -- Of cotton,"97,836,148",12.00,12.00,1,,,,China
610832 -- Of man-made fibres,"129,876,691",12.00,12.00,1,,,,China
610839 -- Of other textile materials,"8,046,823",12.00,12.00,1,,,,China
610891 -- Of cotton,"17,055,547",12.00,12.00,1,,,,China
610892 -- Of man-made fibres,"129,456,201",12.00,12.00,1,,,,China
610899 -- Of other textile materials,"5,986,338",12.00,12.00,1,,,,China
610910 - Of cotton,"481,638,597",12.00,12.00,1,,,,China
610990 - Of other textile materials,"815,836,945",12.00,12.00,2,,,,China
611011 -- Of wool,"417,521,119",11.50,11.50,3,,,,China
611012 -- Of Kashmir (cashmere) goats,"204,840,285",12.00,12.00,2,,,,China
611019 -- Other,"20,486,448",12.00,12.00,2,,,,China
611020 - Of cotton,"1,419,599,960",12.00,12.00,3,,,,China
611030 - Of man-made fibres,"2,445,105,908",12.00,12.00,3,,,,China
611090 - Of other textile materials,"109,059,691",12.00,12.00,2,,,,China
611120 - Of cotton,"633,167,746",10.45,10.45,2,,,,China
611130 - Of synthetic fibres,"127,077,127",10.45,10.45,2,,,,China
611190 - Of other textile materials,"15,550,329",10.97,10.97,3,,,,China
611211 -- Of cotton,"21,556,400",12.00,12.00,1,,,,China
611212 -- Of synthetic fibres,"45,715,544",12.00,12.00,1,,,,China
611219 -- Of other textile materials,"901,587",12.00,12.00,1,,,,China
611220 - Ski suits,"1,181,232",12.00,12.00,1,,,,China
611231 -- Of synthetic fibres,"60,396,562",10.00,10.00,2,,,,China
611239 -- Of other textile materials,"1,783,105",10.00,10.00,2,,,,China
611241 -- Of synthetic fibres,"369,404,762",10.00,10.00,2,,,,China
611249 -- Of other textile materials,"10,513,494",10.00,10.00,2,,,,China
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","103,811,655",10.00,10.00,2,,,,China
611420 - Of cotton,"58,048,437",12.00,12.00,1,,,,China
611430 - Of man-made fibres,"307,284,862",12.00,12.00,1,,,,China
611490 - Of other textile materials,"24,461,597",12.00,12.00,1,,,,China
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)","6,819,443",10.00,10.00,2,,,,China
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex","15,635,438",12.00,12.00,1,,,,China
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more","36,005,762",12.00,12.00,1,,,,China
611529 -- Of other textile materials,"64,435,449",12.00,12.00,1,,,,China
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex","12,599,489",12.00,12.00,3,,,,China
611594 -- Of wool or fine animal hair,"8,256,472",12.00,12.00,1,,,,China
611595 -- Of cotton,"475,988,170",12.00,12.00,1,,,,China
611596 -- Of synthetic fibres,"184,310,666",12.00,12.00,3,,,,China
611599 -- Of other textile materials,"32,138,975",12.00,12.00,1,,,,China
"611610 - Impregnated, coated or covered with plastics or rubber","372,232,422",8.45,8.45,2,,,,China
611691 -- Of wool or fine animal hair,"11,405,024",8.90,8.90,1,,,,China
611692 -- Of cotton,"21,854,776",8.90,8.90,1,,,,China
611693 -- Of synthetic fibres,"139,686,155",8.90,8.90,1,,,,China
611699 -- Of other textile materials,"10,763,954",8.90,8.90,1,,,,China
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like","225,411,201",12.00,12.00,1,,,,China
611780 - Other accessories,"62,455,838",10.00,10.00,2,,,,China
611790 - Parts,"4,557,444",12.00,12.00,1,,,,China
,2015,"15,317,831,963",11.60,11.60,147,,,,China
610120 - Of cotton,"62,972,143",12.00,12.00,2,,,,China
610130 - Of man-made fibres,"130,916,610",12.00,12.00,2,,,,China
610190 - Of other textile materials,"11,456,863",12.00,12.00,2,,,,China
610210 - Of wool or fine animal hair,"20,820,910",12.00,12.00,2,,,,China
610220 - Of cotton,"90,071,928",12.00,12.00,2,,,,China
610230 - Of man-made fibres,"285,704,238",12.00,12.00,2,,,,China
610290 - Of other textile materials,"7,439,056",12.00,12.00,2,,,,China
610310 - Suits,"9,542,300",12.00,12.00,2,,,,China
610322 -- Of cotton,"6,623,584",12.00,12.00,1,,,,China
610323 -- Of synthetic fibres,"18,458,223",12.00,12.00,1,,,,China
610329 -- Of other textile materials,"2,207,778",12.00,12.00,1,,,,China
610331 -- Of wool or fine animal hair,"2,781,525",12.00,12.00,1,,,,China
610332 -- Of cotton,"28,413,618",12.00,12.00,1,,,,China
610333 -- Of synthetic fibres,"58,139,018",12.00,12.00,1,,,,China
610339 -- Of other textile materials,"7,375,674",12.00,12.00,1,,,,China
610341 -- Of wool or fine animal hair,"1,244,182",12.00,12.00,1,,,,China
610342 -- Of cotton,"136,334,787",12.00,12.00,1,,,,China
610343 -- Of synthetic fibres,"139,004,011",12.00,12.00,1,,,,China
610349 -- Of other textile materials,"13,893,702",12.00,12.00,1,,,,China
610413 -- Of synthetic fibres,"4,796,749",12.00,12.00,1,,,,China
610419 -- Of other textile materials,"5,099,367",12.00,12.00,2,,,,China
610422 -- Of cotton,"11,119,224",12.00,12.00,1,,,,China
610423 -- Of synthetic fibres,"15,321,848",12.00,12.00,1,,,,China
610429 -- Of other textile materials,"5,910,794",12.00,12.00,2,,,,China
610431 -- Of wool or fine animal hair,"9,311,562",12.00,12.00,1,,,,China
610432 -- Of cotton,"41,862,718",12.00,12.00,1,,,,China
610433 -- Of synthetic fibres,"134,538,604",12.00,12.00,1,,,,China
610439 -- Of other textile materials,"22,790,908",12.00,12.00,1,,,,China
610441 -- Of wool or fine animal hair,"24,603,209",12.00,12.00,1,,,,China
610442 -- Of cotton,"147,102,336",12.00,12.00,1,,,,China
610443 -- Of synthetic fibres,"383,664,306",12.00,12.00,1,,,,China
610444 -- Of artificial fibres,"141,113,031",12.00,12.00,1,,,,China
610449 -- Of other textile materials,"23,603,167",12.00,12.00,1,,,,China
610451 -- Of wool or fine animal hair,"2,231,456",12.00,12.00,1,,,,China
610452 -- Of cotton,"20,897,522",12.00,12.00,1,,,,China
610453 -- Of synthetic fibres,"78,096,758",12.00,12.00,1,,,,China
610459 -- Of other textile materials,"23,743,991",12.00,12.00,1,,,,China
610461 -- Of wool or fine animal hair,"3,897,709",12.00,12.00,1,,,,China
610462 -- Of cotton,"338,923,418",12.00,12.00,1,,,,China
610463 -- Of synthetic fibres,"455,577,075",12.00,12.00,1,,,,China
610469 -- Of other textile materials,"90,354,551",12.00,12.00,1,,,,China
610510 - Of cotton,"232,933,424",12.00,12.00,1,,,,China
610520 - Of man-made fibres,"73,634,731",12.00,12.00,2,,,,China
610590 - Of other textile materials,"6,744,206",12.00,12.00,2,,,,China
610610 - Of cotton,"76,647,760",12.00,12.00,1,,,,China
610620 - Of man-made fibres,"141,335,658",12.00,12.00,1,,,,China
610690 - Of other textile materials,"17,602,582",12.00,12.00,4,,,,China
610711 -- Of cotton,"336,081,949",12.00,12.00,1,,,,China
610712 -- Of man-made fibres,"72,718,324",12.00,12.00,1,,,,China
610719 -- Of other textile materials,"6,054,423",12.00,12.00,1,,,,China
610721 -- Of cotton,"61,351,055",12.00,12.00,1,,,,China
610722 -- Of man-made fibres,"29,507,102",12.00,12.00,1,,,,China
610729 -- Of other textile materials,"665,460",12.00,12.00,1,,,,China
610791 -- Of cotton,"7,022,461",12.00,12.00,1,,,,China
610799 -- Of other textile materials,"28,326,748",12.00,12.00,1,,,,China
610811 -- Of man-made fibres,"8,915,903",12.00,12.00,1,,,,China
610819 -- Of other textile materials,"1,102,554",12.00,12.00,1,,,,China
610821 -- Of cotton,"244,207,482",12.00,12.00,1,,,,China
610822 -- Of man-made fibres,"400,052,857",12.00,12.00,1,,,,China
610829 -- Of other textile materials,"12,727,361",12.00,12.00,1,,,,China
610831 -- Of cotton,"128,022,841",12.00,12.00,1,,,,China
610832 -- Of man-made fibres,"127,421,302",12.00,12.00,1,,,,China
610839 -- Of other textile materials,"11,236,346",12.00,12.00,1,,,,China
610891 -- Of cotton,"21,872,675",12.00,12.00,1,,,,China
610892 -- Of man-made fibres,"128,093,399",12.00,12.00,1,,,,China
610899 -- Of other textile materials,"8,607,772",12.00,12.00,1,,,,China
610910 - Of cotton,"591,981,601",12.00,12.00,1,,,,China
610990 - Of other textile materials,"878,856,704",12.00,12.00,2,,,,China
611011 -- Of wool,"425,113,173",11.50,11.50,3,,,,China
611012 -- Of Kashmir (cashmere) goats,"219,153,710",12.00,12.00,2,,,,China
611019 -- Other,"24,345,817",12.00,12.00,2,,,,China
611020 - Of cotton,"1,589,562,058",12.00,12.00,3,,,,China
611030 - Of man-made fibres,"2,614,526,122",12.00,12.00,3,,,,China
611090 - Of other textile materials,"125,177,070",12.00,12.00,2,,,,China
