Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
"392330 - Carboys, bottles, flasks and similar articles","1,903,667",6.50,0.00,2,,2,,South Africa
"392340 - Spools, cops, bobbins and similar supports","2,743,843",5.90,0.00,2,,2,,South Africa
"392350 - Stoppers, lids, caps and other closures","8,908,410",6.50,0.00,2,,2,,South Africa
392390 - Other,"4,280,601",6.50,0.00,1,,1,,South Africa
392410 - Tableware and kitchenware,"706,275",6.50,0.00,1,,1,,South Africa
392490 - Other,"101,527",6.50,0.00,1,,1,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors","2,985",6.50,0.00,1,,1,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof","3,617,821",6.50,0.00,1,,1,,South Africa
392590 - Other,"261,104",6.50,0.00,3,,3,,South Africa
392610 - Office or school supplies,"74,457",6.50,0.00,1,,1,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","15,575",6.50,0.00,1,,1,,South Africa
"392630 - Fittings for furniture, coachwork or the like","242,694",6.50,0.00,1,,1,,South Africa
392640 - Statuettes and other ornamental articles,"166,339",6.50,0.00,1,,1,,South Africa
392690 - Other,"11,738,353",6.50,0.00,3,,3,,South Africa
,2016,"118,423,811",5.53,0.00,205,,176,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"2,942,169",6.50,0.00,2,,2,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,"4,420,631",3.25,0.00,2,,1,,South Africa
390130 - Ethylene-vinyl acetate copolymers,"8,428",6.50,0.00,1,,1,,South Africa
390190 - Other,,3.25,0.00,2,,1,,South Africa
390210 - Polypropylene,"42,570,566",6.50,0.00,1,,1,,South Africa
390220 - Polyisobutylene,,6.50,0.00,1,,1,,South Africa
390230 - Propylene copolymers,"15,002,533",6.50,0.00,1,,1,,South Africa
