Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
870870 - Road wheels and parts and accessories thereof,"3,139,724",16.00,16.00,2,,,,India
870880 - Suspension systems and parts thereof (including shock- absorbers),"6,037,020",18.00,18.00,1,,,,India
870891 -- Radiators and parts thereof,"1,182,505",18.00,18.00,1,,,,India
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,"1,365,837",18.00,18.00,1,,,,India
870893 -- Clutches and parts thereof,"1,408,615",18.00,18.00,1,,,,India
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof","6,159,519",16.29,16.29,7,,,,India
870895 -- Safety airbags with inflater system; parts thereof,41,10.00,10.00,4,,,,India
870899 -- Other,"32,035,913",9.00,9.00,2,,,,India
870911 -- Electrical,,14.00,14.00,1,,,,India
870919 -- Other,,14.00,14.00,1,,,,India
870990 - Parts,"26,255",14.00,14.00,1,,,,India
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,0.00,0.00,1,,,,India
871110 -With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,20.00,20.00,1,,,,India
871120 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,20.00,20.00,3,,,,India
871130 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,"2,347",20.00,20.00,1,,,,India
871140 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,20.00,20.00,1,,,,India
871150 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,20.00,20.00,1,,,,India
871190 - Other,,20.00,20.00,1,,,,India
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",542,20.00,20.00,2,,,,India
871310 - Not mechanically propelled,250,12.00,12.00,1,,,,India
871390 - Other,,2.00,2.00,1,,,,India
871410 - Of motorcycles (including mopeds),"5,843,187",16.00,16.00,1,,,,India
871420 - Of carriages for disabled persons,,10.00,10.00,1,,,,India
"871491 -- Frames and forks, and parts thereof",,16.00,16.00,1,,,,India
871492 -- Wheel rims and spokes,"6,429",16.00,16.00,1,,,,India
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free- wheel sprocket-wheels","378,260",16.00,16.00,2,,,,India
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof","279,970",16.00,16.00,2,,,,India
871495 -- Saddles,"41,893",16.00,16.00,1,,,,India
"871496 -- Pedals and crank-gear, and parts thereof","27,474",16.00,16.00,1,,,,India
871499 -- Other,"860,588",16.00,16.00,2,,,,India
871500 Baby carriages and parts thereof.,,20.00,20.00,1,,,,India
"871610 -Trailers and semi-trailers of the caravan type, for housing or camping",,20.00,20.00,1,,,,India
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,"4,325",14.00,14.00,1,,,,India
871631 -- Tanker trailers and tanker semi-trailers,,35.00,35.00,1,,,,India
871639 -- Other,,35.00,35.00,1,,,,India
871640 - Other trailers and semi-trailers,,35.00,35.00,1,,,,India
871680 - Other vehicles,"77,480",35.00,35.00,1,,,,India
871690 - Parts,"113,920",16.00,16.00,2,,,,India
,2014,"198,037,373",22.49,22.49,141,,,,India
870110 - Pedestrian controlled tractors,,14.00,14.00,1,,,,India
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,India
870130 -Track-laying tractors,,14.00,14.00,1,,,,India
870190 - Other,"1,077,784",7.00,7.00,2,,,,India
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,India
870290 - Other,,35.00,35.00,2,,,,India
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,India
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,35.00,35.00,1,,,,India
