Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"43,268",15.00,15.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,"43,431",15.00,15.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"117,087",15.00,15.00,1,,,,United States of America
880529 -- Other,"337,606",15.00,15.00,1,,,,United States of America
,2004,"710,215,055",14.90,14.90,20,,,,United States of America
880110 - Gliders and hang gliders,,20.00,20.00,1,,,,United States of America
880190 - Other,,20.00,20.00,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","3,052,836",20.00,20.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","2,696,780",20.00,20.00,1,,,,United States of America
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,United States of America
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","45,449,425",3.00,3.00,1,,,,United States of America
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","484,650,828",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,20.00,20.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"42,128",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"89,873",3.00,3.00,1,,,,United States of America
880330 - Other parts of airplanes or helicopters,"171,762,084",3.00,3.00,1,,,,United States of America
880390 - Other,"2,204,179",20.00,20.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"27,293",20.00,20.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,"18,494",20.00,20.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"78,431",20.00,20.00,1,,,,United States of America
880529 -- Other,"142,704",20.00,20.00,1,,,,United States of America
,2003,"334,225,662",18.40,18.40,20,,,,United States of America
880110 - Gliders and hang gliders,,25.00,25.00,1,,,,United States of America
880190 - Other,"2,139",25.00,25.00,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","171,773,253",25.00,25.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","1,722,657",25.00,25.00,1,,,,United States of America
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","2,868,605",3.00,3.00,1,,,,United States of America
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","16,099,321",3.00,3.00,1,,,,United States of America
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","349,091",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,25.00,25.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"8,778",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"56,253",3.00,3.00,1,,,,United States of America
880330 - Other parts of airplanes or helicopters,"136,755,827",3.00,3.00,1,,,,United States of America
880390 - Other,"4,223,610",25.00,25.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"129,942",25.00,25.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,"50,302",25.00,25.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"113,182",25.00,25.00,1,,,,United States of America
880529 -- Other,"72,702",25.00,25.00,1,,,,United States of America
,2002,"327,504,383",18.94,18.94,16,,,,United States of America
880110 - Gliders and hang gliders,,25.00,25.00,1,,,,United States of America
880190 - Other,,30.00,30.00,1,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","838,420",25.00,25.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","2,333,180",25.00,25.00,1,,,,United States of America
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","32,745,057",3.00,3.00,1,,,,United States of America
