Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080430 - Pineapples,"20,514",5.80,5.80,1,,,,United States of America
080440 - Avocados,"15,411",4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","17,415,608",0.00,0.00,1,,,,United States of America
080510 - Oranges,"77,566",16.00,16.00,2,1,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","7,569,311",,,5,5,,,United States of America
"080540 - Grapefruit, including pomelos","49,226,763",1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","139,505",12.80,12.80,2,1,,,United States of America
080590 - Other,"87,765",12.80,12.80,1,,,,United States of America
080610 - Fresh,"29,281,055",14.40,14.40,2,1,,,United States of America
080620 - Dried,"149,547,224",2.40,2.40,3,,,,United States of America
080711 -- Watermelons,,8.80,8.80,1,,,,United States of America
080719 -- Other,,8.80,8.80,1,,,,United States of America
080720 - Papaws (papayas),"67,685",0.00,0.00,1,,,,United States of America
080810 - Apples,"15,143,969",,,2,2,,,United States of America
080830 - Pears,"1,517,263",,,2,2,,,United States of America
080840 - Quinces,,7.20,7.20,1,,,,United States of America
080910 - Apricots,"6,164",,,1,1,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,United States of America
080929 -- Other,"12,889,714",,,1,1,,,United States of America
"080930 - Peaches, including nectarines",188,,,2,2,,,United States of America
080940 - Plums and sloes,"20,518",12.00,12.00,2,1,,,United States of America
081010 - Strawberries,"8,021,847",11.20,11.20,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","4,917,119",9.20,9.20,2,,,,United States of America
"081030 - Black, white or red currants and gooseberries","39,656",9.07,9.07,3,,,,United States of America
